PR Number,Author,Labels,PR Link
1413,LimesKey,"submission, dev",https://github.com/hackclub/OnBoard/pull/1413
1412,Batgab745,submission,https://github.com/hackclub/OnBoard/pull/1412
1411,wolf-yuan-6115,submission,https://github.com/hackclub/OnBoard/pull/1411
1410,YeetTheAnson,submission,https://github.com/hackclub/OnBoard/pull/1410
1409,AdamTuraj,submission,https://github.com/hackclub/OnBoard/pull/1409
1408,stefanlighezan,submission,https://github.com/hackclub/OnBoard/pull/1408
1406,urmompewps,submission,https://github.com/hackclub/OnBoard/pull/1406
1404,HeatedNoob,submission,https://github.com/hackclub/OnBoard/pull/1404
1403,JumpSushi,submission,https://github.com/hackclub/OnBoard/pull/1403
1402,AvaN89,submission,https://github.com/hackclub/OnBoard/pull/1402
1401,ANSHUMANDOCX,"submission, hacky holidays",https://github.com/hackclub/OnBoard/pull/1401
1400,mo8codes,submission,https://github.com/hackclub/OnBoard/pull/1400
1399,Lucas4680,submission,https://github.com/hackclub/OnBoard/pull/1399
1398,Anhysteretic,submission,https://github.com/hackclub/OnBoard/pull/1398
1397,abusphere,submission,https://github.com/hackclub/OnBoard/pull/1397
1396,grimsteel,"submission, hacky holidays",https://github.com/hackclub/OnBoard/pull/1396
1395,souptik-samanta,"submission, hacky holidays",https://github.com/hackclub/OnBoard/pull/1395
1394,MinoDab492,submission,https://github.com/hackclub/OnBoard/pull/1394
1387,ajtabjs,submission,https://github.com/hackclub/OnBoard/pull/1387
1386,techy-robot,submission,https://github.com/hackclub/OnBoard/pull/1386
1385,CoolCoderSJ,"submission, hacky holidays",https://github.com/hackclub/OnBoard/pull/1385
1384,M0HID,"submission, hacky holidays",https://github.com/hackclub/OnBoard/pull/1384
1383,JeffreyWangDev,"submission, hacky holidays",https://github.com/hackclub/OnBoard/pull/1383
1382,DynamicWhiteHat,submission,https://github.com/hackclub/OnBoard/pull/1382
1381,YashasSingh,"submission, hacky holidays",https://github.com/hackclub/OnBoard/pull/1381
1380,grimsteel,submission,https://github.com/hackclub/OnBoard/pull/1380
1377,ErrolAntonyRodrigues2008,"submission, hacky holidays",https://github.com/hackclub/OnBoard/pull/1377
1376,Kermostar,submission,https://github.com/hackclub/OnBoard/pull/1376
1375,electricxangel,submission,https://github.com/hackclub/OnBoard/pull/1375
1374,sayhan1610,submission,https://github.com/hackclub/OnBoard/pull/1374
1372,ramondeleonca,submission,https://github.com/hackclub/OnBoard/pull/1372
1370,CyrilSLi,"submission, hacky holidays",https://github.com/hackclub/OnBoard/pull/1370
1369,Someon332,"submission, stalled",https://github.com/hackclub/OnBoard/pull/1369
1368,Ameboid,submission,https://github.com/hackclub/OnBoard/pull/1368
1367,Aperaine,submission,https://github.com/hackclub/OnBoard/pull/1367
1366,rudra-k9,submission,https://github.com/hackclub/OnBoard/pull/1366
1365,rivques,"submission, hacky holidays",https://github.com/hackclub/OnBoard/pull/1365
1364,udu3324,"submission, hacky holidays",https://github.com/hackclub/OnBoard/pull/1364
1363,Lazylllama,submission,https://github.com/hackclub/OnBoard/pull/1363
1362,mukul0x08,submission,https://github.com/hackclub/OnBoard/pull/1362
1361,Elsuculento,submission,https://github.com/hackclub/OnBoard/pull/1361
1359,arp2019-Dev,submission,https://github.com/hackclub/OnBoard/pull/1359
1357,Jaumix3,submission,https://github.com/hackclub/OnBoard/pull/1357
1356,cookiemonsternz,submission,https://github.com/hackclub/OnBoard/pull/1356
1355,achyrocalyx,submission,https://github.com/hackclub/OnBoard/pull/1355
1353,omarko-dev,submission,https://github.com/hackclub/OnBoard/pull/1353
1352,PetabyteBrain,submission,https://github.com/hackclub/OnBoard/pull/1352
1351,Acidicts,submission,https://github.com/hackclub/OnBoard/pull/1351
1349,ANSHUMANDOCX,"submission, onboard live",https://github.com/hackclub/OnBoard/pull/1349
1348,zp-86,submission,https://github.com/hackclub/OnBoard/pull/1348
1346,sayhan1610,submission,https://github.com/hackclub/OnBoard/pull/1346
1345,LalitCreations,submission,https://github.com/hackclub/OnBoard/pull/1345
1343,tmshader,submission,https://github.com/hackclub/OnBoard/pull/1343
1341,Arrow-07,submission,https://github.com/hackclub/OnBoard/pull/1341
1340,Abillow1,submission,https://github.com/hackclub/OnBoard/pull/1340
1337,JackatDJL,submission,https://github.com/hackclub/OnBoard/pull/1337
1336,JeffreyWangDev,submission,https://github.com/hackclub/OnBoard/pull/1336
1329,noobieyuh,submission,https://github.com/hackclub/OnBoard/pull/1329
1328,KOEGlike,"submission, onboard live",https://github.com/hackclub/OnBoard/pull/1328
1327,finnhagard,submission,https://github.com/hackclub/OnBoard/pull/1327
1325,quinut,"submission, stalled",https://github.com/hackclub/OnBoard/pull/1325
1322,Rafi13082007,submission,https://github.com/hackclub/OnBoard/pull/1322
1321,cookiemonsternz,submission,https://github.com/hackclub/OnBoard/pull/1321
1320,ssahoo11742,submission,https://github.com/hackclub/OnBoard/pull/1320
